Experiment results
out/august/SL/metrics.csv
2023-08-25 15:57:47
"test_miou, 0.099"
"test_macc, 0.193"
"test_oacc, 0.257"
"frequent_cls_acc, 0.312"
"common_cls_acc, 0.156"
"rare_cls_acc, nan"
"test_acc_Background, 0.019"
"test_acc_Bedrock, 0.192"
"test_acc_Bedrockwith grass, 0.0"
"test_acc_Large blocks, 0.0"
"test_acc_Large blocks with grass, nan"
"test_acc_Scree, 0.271"
"test_acc_Scree with grass, 0.449"
"test_acc_Water, 0.019"
"test_acc_Forest, 0.659"
"test_acc_Glacier, 0.128"
